209,Chamu,Chibhabha,14
210,Craig,Ervine,14
211,Tafadzwa,Kamungozi,14
212,Hamilton,Masakadza,14
213,Stuart,Matsikenyeri,14
214,Solomon,Mire,14
215,Tawanda,Mupariwa,14
216,Tinashe,Panyangara,14
217,Sikandar,Raza,14
218,Brendan,Taylor,14
219,Prosper,Utseya,14
220,Sean,Williams,14
1,Mohammad,Nabi,1
2,Afsar,Zazai,1
3,Aftab,Alam,1
4,Asghar,Stanikzai,1
5,Dawlat,Zadran,1
6,Gulbadin,Naib,1
7,Hamid,Hassan,1
8,Javed,Ahmadi,1
9,Mirwais,Ashraf,1
10,Najibullah,Zadran,1
11,Nasir,Jamal,1
12,Nawroz,Mangal,1
13,Samiullah,Shenwari,1
14,Shapoor,Zadran,1
15,Usman,Ghani,1
16,Hashmatullah,Shaidi,1
17,Izatullah,Dawlatzai,1
18,Shafiqullah,,1
19,Sharafuddin,Ashraf,1
20,Michael,Clarke,2
21,George,Bailey,2
22,Pat,Cummins,2
23,Xavier,Doherty,2
24,James,Faulkner,2
25,Aaron,Finch,2
26,Brad,Haddin,2
27,Josh,Hazlewood,2
28,Mitchell,Johnson,2
29,Mitchell,Marsh,2
30,Glenn,Maxwell,2
31,Steven,Smith,2
32,Mitchell,Starc,2
33,David,Warner,2
34,Shane,Watson,2
35,Mashrafe,Mortaza,3
36,Al-Amin,Hossain,3
37,Anamul,Haque,3
38,Arafat,Sunny,3
39,Mahmudullah,,3
40,Mominul,Haque,3
41,Mushfiqur,Rahim,3
42,Nasir,Hossain,3
43,Rubel,Hossain,3
44,Sabbir,Rahman,3
45,Shakib,Al,3
46,Soumya,Sarkar,3
47,Taijul,Islam,3
48,Tamim,Iqbal,3
49,Taskin,Ahmed,3
50,Eoin,Morgan,4
51,Jos,Buttler,4
52,Moeen,Ali,4
53,James,Anderson,4
54,Gary,Ballance,4
55,Ian,Bell,4
56,Ravi,Bopara,4
57,Stuart,Broad,4
58,Steven,Finn,4
59,Alex,Hales,4
60,Chris,Jordan,4
61,Joe,Root,4
62,James,Taylor,4
63,James,Tredwell,4
64,Chris,Woakes,4
65,MS,Dhoni,5
66,Ravichandran,Ashwin,5
67,Stuart,Binny,5
